"NAME","population","medianage","medianinc_hh","households","hispanic","white","black","aian","api","other","fips_county"
"Autauga County, Alabama",55136,37.9,52475,20304,0.0252285258270459,0.762351276842716,0.184199071387115,0.00417150319210679,0.00906848520023215,0.0149811375507835,"01001"
"Baldwin County, Alabama",191205,41.8,50183,73058,0.0451348029601736,0.831814021599854,0.0932663894772626,0.00485865955388196,0.00656886587693836,0.0183572605318899,"01003"
"Barbour County, Alabama",27119,38.3,35634,9145,0.0473100040561968,0.461115822854825,0.461963936723331,0.00176997676905491,0.00368745160219772,0.0241528079943951,"01005"
"Bibb County, Alabama",22653,40,37984,7078,0.0200856398710988,0.747627245839403,0.211495166203152,0.00706308215247429,0.000838741005606321,0.0128901249282656,"01007"
"Blount County, Alabama",57645,40.2,44409,20934,0.0846560846560847,0.8816029143898,0.0146933819064967,0.00345216410790181,0.000988810824876399,0.0146066441148408,"01009"
"Bullock County, Alabama",10693,38.5,34804,3746,0.0403067427288881,0.221827363695876,0.714486112409988,0.00654633872626952,0.00505003273169363,0.0117834097072851,"01011"
"Butler County, Alabama",20523,40.5,31571,8253,0.011353116016177,0.536276372849973,0.437314232811967,0.00121814549529796,0.00574964673780636,0.00808848608877844,"01013"
"Calhoun County, Alabama",117186,38.8,40919,45348,0.0342788387691362,0.732775246189818,0.206389841789975,0.00232109637670029,0.0081579710886966,0.0160770057856741,"01015"
"Chambers County, Alabama",34091,43.1,32835,13901,0.00463465430758851,0.576427796192543,0.40230559385175,0.0017893285617905,0.00651198263471297,0.0083306444516148,"01017"
"Cherokee County, Alabama",26042,45.2,34983,11726,0.0143998156823593,0.918861838568466,0.0476153905230013,0.00372475232317026,0.00287996313647185,0.012518239766531,"01019"
"Chilton County, Alabama",43781,38.3,41785,16281,0.0768826659966652,0.807245152006578,0.101368173408556,0.00406569059637742,0.00237545967428793,0.008062858317535,"01021"
"Choctaw County, Alabama",13546,44.6,34325,5526,0.00413406171563561,0.55743392883508,0.43164033663074,0,0.000590580245090802,0.00620109257345342,"01023"
"Clarke County, Alabama",25331,41.1,30951,9791,0.00434250523074494,0.534838735146658,0.450080928506573,0,0.00568473412024792,0.00505309699577593,"01025"
"Clay County, Alabama",13617,43.6,35286,5572,0.0311375486524198,0.800470000734376,0.145847102886098,0.00756407431886612,0,0.0149812734082397,"01027"
"Cleburne County, Alabama",14990,41.3,37008,5639,0.0220813875917278,0.927084723148766,0.028685790527018,0.00353569046030687,0.00460306871247498,0.0140093395597065,"01029"
"Coffee County, Alabama",50726,38.2,45558,19086,0.0637937152545046,0.718250995544691,0.169065173678193,0.00758979615976028,0.0132673579623862,0.0280329614004652,"01031"
"Colbert County, Alabama",54491,42.3,39914,22442,0.0234167110164981,0.790937953056468,0.159494228404691,0.00660659558459195,0.0038538474243453,0.0156906645134059,"01033"
"Conecuh County, Alabama",12985,43.6,24433,5030,0.0158644589911436,0.510512129380054,0.447747400847131,0.00546784751636504,0.000770119368502118,0.019638043896804,"01035"
"Coosa County, Alabama",11247,44.8,32340,4446,0.0211611985418334,0.650040010669512,0.313327998577398,0.000622388192406864,0,0.0148484040188495,"01037"
"Covington County, Alabama",37881,42.6,36256,14979,0.0148887304981389,0.835669596895541,0.128006124442333,0.00517409783268657,0.00406536258282516,0.0121960877484755,"01039"
"Crenshaw County, Alabama",13938,41,37349,5424,0.0164299038599512,0.7083512699096,0.23453867125843,0.00767685464198594,0.0163581575548859,0.0166451427751471,"01041"
"Cullman County, Alabama",80668,40.5,39415,31160,0.0431521793028214,0.923092180294541,0.0109832895324044,0.00438835721723608,0.00520652551197501,0.0131774681410225,"01043"
"Dale County, Alabama",50013,36.6,44473,19470,0.0585647731589787,0.702137444264491,0.190510467278508,0.00373902785275828,0.0120768600163957,0.0329714274288685,"01045"
"Dallas County, Alabama",42743,37.9,26494,16259,0.00374330299698196,0.286620031350163,0.69573965327656,0.000982617036707765,0.00175467327983529,0.0111597220597525,"01047"
"DeKalb County, Alabama",71074,38.8,37977,24743,0.139600979261052,0.810408869628838,0.016588344542308,0.0116357599122042,0.00294059712412415,0.0188254495314742,"01049"
"Elmore County, Alabama",80321,37.6,54159,28617,0.027141096350892,0.73995592684354,0.205338578951955,0.00400891423164552,0.00768167726995431,0.0158738063520125,"01051"
"Escambia County, Alabama",38042,39.4,31422,13737,0.0201882130277062,0.609300247095316,0.324352031964671,0.0331738604700068,0.00136691025708428,0.0116187371852163,"01053"
"Etowah County, Alabama",104126,40.5,38467,40001,0.0352361561953787,0.787065670437739,0.153227820140983,0.00314042602231911,0.00740449071317442,0.0139254364904059,"01055"
"Fayette County, Alabama",17019,43.4,33144,6967,0.00752100593454375,0.855455667195487,0.122275104295199,0,0.00246783007227217,0.0122803925024972,"01057"
"Franklin County, Alabama",31663,38.5,35450,12247,0.154186274200171,0.788617629409721,0.043931402583457,0.00650601648611945,0.00161071281937909,0.00514796450115276,"01059"
"Geneva County, Alabama",26816,41.9,36268,10898,0.0353147374701671,0.842109188544153,0.0953535202863962,0.00216288782816229,0.00406473747016706,0.0209949284009547,"01061"
"Greene County, Alabama",8798,42.5,22170,3282,0.00443282564219141,0.177199363491703,0.807228915662651,0.00386451466242328,0.00113662195953626,0.00613775858149579,"01063"
"Hale County, Alabama",15393,40.6,30839,5931,0.0106541934645618,0.398103033846554,0.582992269213279,0.00233872539465991,0.00357305268628597,0.00233872539465991,"01065"
"Henry County, Alabama",17270,43.1,42926,6900,0.024203821656051,0.681354950781702,0.276606832657788,0,0.0126230457440649,0.00521134916039375,"01067"
"Houston County, Alabama",103079,38.7,41077,39464,0.0315389167531699,0.679663170965958,0.259655215902366,0.0031820254368009,0.00806177785969984,0.0178988930820051,"01069"
"Jackson County, Alabama",53012,42.1,36874,20425,0.0266543424130386,0.89670263336603,0.0323511657737871,0.0183731985210896,0.00462159511054101,0.0212970648155135,"01071"
"Jefferson County, Alabama",658834,37.4,45239,259397,0.0381218941341825,0.512104718335726,0.4212381267512,0.00220844704432376,0.0151646697043565,0.0111621440302109,"01073"
"Lamar County, Alabama",14268,42.6,36021,6147,0.0136669470142977,0.859966358284272,0.116274179983179,0.00259321558732829,0.000140173815531259,0.00735912531539108,"01075"
"Lauderdale County, Alabama",92780,40.9,42703,38691,0.0234317740892434,0.850765251131709,0.0989329596895883,0.00437594309118344,0.00810519508514766,0.0143888769131278,"01077"
"Lawrence County, Alabama",33835,41.6,40356,13312,0.019595093837742,0.765449977833604,0.110625092359982,0.054529333530368,0.00118220777301611,0.0486182946652874,"01079"
